(2.75 1.34 3.19)
(2.76 1.33 3.29)
(2.76 1.33 3.30)
(2.76 1.33 3.32)
(2.76 1.33 3.34)
(2.76 1.32 3.34)
(2.76 1.33 3.43)
(2.77 1.34 3.46)
(2.78 1.33 3.46)
(2.77 1.34 3.47)
(2.78 1.34 3.46)
(2.78 1.34 3.47)
(2.79 1.34 3.46)
(2.79 1.34 3.47)
(2.79 1.34 3.46)
(2.79 1.35 3.49)
(2.78 1.36 3.53)
(2.77 1.36 3.55)
(2.79 1.36 3.60)
(2.80 1.34 3.62)
(2.79 1.35 3.62)
(2.79 1.36 3.62)
(2.79 1.35 3.66)
(2.80 1.35 3.67)
(2.80 1.36 3.70)
(2.80 1.34 3.78)
(2.80 1.36 3.79)
(2.80 1.38 3.79)
(2.80 1.39 3.81)
(2.81 1.41 3.90)
(2.80 1.42 3.91)
(2.82 1.42 3.93)
(2.82 1.42 3.93)
(2.82 1.42 3.93)
(2.83 1.42 3.93)
(2.83 1.42 3.93)
(2.84 1.42 3.96)
(2.84 1.38 4.03)
(2.84 1.41 4.05)
(2.84 1.41 4.05)
(2.85 1.41 4.05)
(2.84 1.42 4.05)
(2.85 1.41 4.05)
(2.85 1.42 4.05)
(2.85 1.41 4.05)
(2.85 1.41 4.05)
(2.85 1.41 4.11)
(2.85 1.43 4.14)
(2.85 1.43 4.14)
(2.85 1.41 4.14)
(2.85 1.43 4.14)
(2.85 1.44 4.14)
(2.85 1.44 4.14)
(2.85 1.44 4.14)
(2.85 1.43 4.14)
(2.85 1.43 4.14)
(2.85 1.43 4.14)
(2.85 1.43 4.14)
(2.85 1.43 4.14)
(2.85 1.43 4.14)
(2.85 1.43 4.14)
(2.85 1.45 4.14)
(2.85 1.46 4.14)
(2.85 1.46 4.14)
(2.86 1.46 4.14)
(2.85 1.47 4.14)
(2.85 1.47 4.14)
